Product,Price,RAM,ROM,Display,Back_camera,Front_camera,Processor,Battery,Rating
"Motorola One Fusion+ (Moonlight White, 128 GB)","₹16,999",6 GB RAM , 128 GB ROM ,16.51 ,64MP + 8MP + 5MP + 2MP , 16MP Front Camera,Qualcomm Snapdragon 730G Processor,5000 ,4.4
"Apple iPhone SE (Black, 128 GB)","₹39,999",,128 GB ROM,11.94 ,12MP Rear Camera , 7MP Front Camera,"Water and Dust Resistant (1 meter for Upto 30 minutes, IP67)",A13 Bionic Chip with 3rd Gen Neural Engine Processor,4.6
"Infinix Smart 4 Plus (Ocean Wave, 32 GB)","₹6,999",3 GB RAM , 32 GB ROM ,17.32 ,13MP + Depth Sensor , 8MP Front Camera,Mediatek Helio A25 Processor,6000 ,4.4
"Infinix Smart 4 Plus (Quetzal Cyan, 32 GB)","₹6,999",3 GB RAM , 32 GB ROM ,17.32 ,13MP + Depth Sensor , 8MP Front Camera,Mediatek Helio A25 Processor,6000 ,4.4
"POCO M2 Pro (Two Shades of Black, 64 GB)","₹14,999",6 GB RAM , 64 GB ROM ,16.94 ,48MP + 8MP + 5MP + 2MP , 16MP Front Camera,Qualcomm Snapdragon 720G Processor,5000 ,4.4
"Redmi Note 8 (Moonlight White, 64 GB)","₹11,499",4 GB RAM , 64 GB ROM ,16.0 ,48MP + 8MP + 2MP + 2MP , 13MP Front Camera,Qualcomm Snapdragon 665 Processor,4000 ,4.4
"OPPO A52 (Twilight Black, 128 GB)","₹12,990",4 GB RAM , 128 GB ROM ,16.51 ,12MP + 8MP + 2MP + 2MP , 16MP Front Camera,Qualcomm Snapdragon 665 Processor,5000 ,4.5
"OPPO A52 (Stream White, 128 GB)","₹12,990",4 GB RAM , 128 GB ROM ,16.51 ,12MP + 8MP + 2MP + 2MP , 16MP Front Camera,Qualcomm Snapdragon 665 Processor,5000 ,4.5
"Realme Narzo 10 (That Blue, 128 GB)","₹11,999",4 GB RAM , 128 GB ROM ,16.51 ,48MP + 8MP + 2MP + 2MP , 16MP Front Camera,MediaTek Helio G80 (12 nm) Processor,5000 ,4.5
"POCO M2 Pro (Green and Greener, 64 GB)","₹14,999",6 GB RAM , 64 GB ROM ,16.94 ,48MP + 8MP + 5MP + 2MP , 16MP Front Camera,Qualcomm Snapdragon 720G Processor,5000 ,4.4
"Infinix Hot 9 (Quetzal Cyan, 64 GB)","₹8,999",4 GB RAM , 64 GB ROM ,16.76 ,13 MP + 2 MP + 2 MP + Low Light Sensor , 8MP Front Camera,MediaTek Helio P22 (64 bit) Processor,5000 ,4.4
"Infinix Hot 9 (Ocean Wave, 64 GB)","₹8,999",4 GB RAM , 64 GB ROM ,16.76 ,13 MP + 2 MP + 2 MP + Low Light Sensor , 8MP Front Camera,MediaTek Helio P22 (64 bit) Processor,5000 ,4.4
"POCO M2 Pro (Out of the Blue, 128 GB)","₹15,999",6 GB RAM , 128 GB ROM ,16.94 ,48MP + 8MP + 5MP + 2MP , 16MP Front Camera,Qualcomm Snapdragon 720G Processor,5000 ,4.4
"POCO M2 (Pitch Black, 64 GB)","₹10,499",6 GB RAM , 64 GB ROM ,16.59 ,13MP + 8MP + 5MP + 2MP , 8MP Front Camera,MediaTek Helio G80 Processor,5000 ,4.4
"Redmi Note 8 (Neptune Blue, 64 GB)","₹11,499",4 GB RAM , 64 GB ROM ,16.0 ,48MP + 8MP + 2MP + 2MP , 13MP Front Camera,Qualcomm Snapdragon 665 Processor,4000 ,4.4
"POCO X2 (Atlantis Blue, 128 GB)","₹17,499",6 GB RAM , 128 GB ROM ,16.94 ,64MP + 8MP + 2MP + 2MP , 20MP + 2MP Dual Front Camera,Qualcomm Snapdragon 730G Processor,4500 ,4.5
"POCO X3 (Cobalt Blue, 128 GB)","₹19,999",8 GB RAM , 128 GB ROM ,16.94 ,64MP + 13MP + 2MP + 2MP , 20MP Front Camera,Qualcomm Snapdragon 732G Processor,6000 ,4.4
"POCO X3 (Shadow Gray, 128 GB)","₹18,499",6 GB RAM , 128 GB ROM ,16.94 ,64MP + 13MP + 2MP + 2MP , 20MP Front Camera,Qualcomm Snapdragon 732G Processor,6000 ,4.4
"Apple iPhone XR ((PRODUCT)RED, 64 GB)","₹44,999",,64 GB ROM,15.49 ,12MP Rear Camera , 7MP Front Camera,iOS 13 Compatible,A12 Bionic Chip Processor,4.6
"Samsung Galaxy F41 (Fusion Black, 64 GB)","₹16,999",6 GB RAM , 64 GB ROM ,16.26 ,64MP + 8MP + 5MP , 32MP Front Camera,Exynos Octa Core Processor,6000 ,4.4
"Apple iPhone SE (White, 128 GB)","₹39,999",,128 GB ROM,11.94 ,12MP Rear Camera , 7MP Front Camera,"Water and Dust Resistant (1 meter for Upto 30 minutes, IP67)",A13 Bionic Chip with 3rd Gen Neural Engine Processor,4.6
"Infinix Hot 9 Pro (Ocean Wave, 64 GB)","₹9,499",4 GB RAM , 64 GB ROM ,16.76 ,48 MP + 2 MP + 2 MP + Low Light Sensor , 8MP Front Camera,MediaTek Helio P22 (64 bit) Processor,5000 ,4.4
"Apple iPhone XR (Black, 128 GB)","₹49,999",,128 GB ROM,15.49 ,12MP Rear Camera , 7MP Front Camera,iOS 13 Compatible,A12 Bionic Chip Processor,4.6
"Redmi 8A Dual (Sea Blue, 32 GB)","₹6,999",2 GB RAM , 32 GB ROM ,15.8 ,13MP + 2MP , 8MP Front Camera,Qualcomm Snapdragon 439 Processor,5000 ,4.2
"POCO X2 (Matrix Purple, 128 GB)","₹17,499",6 GB RAM , 128 GB ROM ,16.94 ,64MP + 8MP + 2MP + 2MP , 20MP + 2MP Dual Front Camera,Qualcomm Snapdragon 730G Processor,4500 ,4.5
"OPPO A9 2020 (Marine Green, 128 GB)","₹14,990",8 GB RAM , 128 GB ROM ,16.51 ,48MP + 8MP + 2MP + 2MP , 16MP Front Camera,Qualcomm Snapdragon 665 Processor,5000 ,4.3
"OPPO A9 2020 (Space Purple, 128 GB)","₹12,990",4 GB RAM , 128 GB ROM ,16.51 ,48MP + 8MP + 2MP + 2MP , 16MP Front Camera,Qualcomm Snapdragon 665 Processor,5000 ,4.3
"Apple iPhone XR (White, 128 GB)","₹49,999",,128 GB ROM,15.49 ,12MP Rear Camera , 7MP Front Camera,iOS 13 Compatible,A12 Bionic Chip Processor,4.6
"Infinix Hot 10 (Ocean Wave, 128 GB)","₹10,999",6 GB RAM , 128 GB ROM ,17.22 ,16MP + 2MP + 2MP + Low Light Sensor , 8MP Front Camera,MediaTek Helio G70 Processor,5200 ,4.5
"Infinix Hot 10 (Amber Red, 128 GB)","₹10,999",6 GB RAM , 128 GB ROM ,17.22 ,16MP + 2MP + 2MP + Low Light Sensor , 8MP Front Camera,MediaTek Helio G70 Processor,5200 ,4.5
"Infinix Hot 10 (Obsidian Black, 128 GB)","₹10,999",6 GB RAM , 128 GB ROM ,17.22 ,16MP + 2MP + 2MP + Low Light Sensor , 8MP Front Camera,MediaTek Helio G70 Processor,5200 ,4.5
"Infinix Hot 10 (Moonlight Jade, 128 GB)","₹10,999",6 GB RAM , 128 GB ROM ,17.22 ,16MP + 2MP + 2MP + Low Light Sensor , 8MP Front Camera,MediaTek Helio G70 Processor,5200 ,4.5
"Realme 6 (Comet Blue, 64 GB)","₹13,999",6 GB RAM , 64 GB ROM ,16.51 ,64MP + 8MP + 2MP + 2MP , 16MP Front Camera,MediaTek Helio G90T Processor,4300 ,4.4
"Apple iPhone SE (Red, 128 GB)","₹39,999",,128 GB ROM,11.94 ,12MP Rear Camera , 7MP Front Camera,"Water and Dust Resistant (1 meter for Upto 30 minutes, IP67)",A13 Bionic Chip with 3rd Gen Neural Engine Processor,4.6
"OPPO Reno2 F (Sky White, 256 GB)","₹16,990",6 GB RAM , 256 GB ROM,16.51 ,48MP + 8MP + 2MP + 2MP , 16MP Front Camera,MediaTek Helio P70 Processor,4000 ,4.4
Nokia 105 SS,"₹1,185",4 MB RAM , 4 MB ROM,4.5 ,800 mAh Lithium Ion Battery,,,Brand Warranty of 1 Year Available for Mobile,4.3
Nokia 105 SS,"₹1,179",4 MB RAM , 4 MB ROM,4.5 ,800 mAh Lithium Ion Battery,,,Brand Warranty of 1 Year Available for Mobile,4.3
"Realme 6 (Comet Blue, 128 GB)","₹15,999",8 GB RAM , 128 GB ROM ,16.51 ,64MP + 8MP + 2MP + 2MP , 16MP Front Camera,MediaTek Helio G90T Processor,4300 ,4.4
"POCO M2 Pro (Two Shades of Black, 128 GB)","₹15,999",6 GB RAM , 128 GB ROM ,16.94 ,48MP + 8MP + 5MP + 2MP , 16MP Front Camera,Qualcomm Snapdragon 720G Processor,5000 ,4.4
"Redmi 9i (Sea Blue, 128 GB)","₹9,299",4 GB RAM , 128 GB ROM ,16.59 ,13MP Rear Camera , 5MP Front Camera,MediaTek Helio G25 Processor,5000 ,4.4
"Realme C3 (Blazing Red, 64 GB)","₹8,999",4 GB RAM , 64 GB ROM ,16.56 ,12MP + 2MP , 5MP Front Camera,Helio G70 Processor,5000 ,4.4
"Realme C3 (Frozen Blue, 32 GB)","₹7,999",3 GB RAM , 32 GB ROM ,16.56 ,12MP + 2MP , 5MP Front Camera,Helio G70 Processor,5000 ,4.4
"Redmi 9i (Nature Green, 128 GB)","₹9,299",4 GB RAM , 128 GB ROM ,16.59 ,13MP Rear Camera , 5MP Front Camera,MediaTek Helio G25 Processor,5000 ,4.4
"Realme C15 (Power Blue, 64 GB)","₹10,499",4 GB RAM , 64 GB ROM ,16.56 ,13MP + 8MP + 2MP + 2MP , 8MP Front Camera,Mediatek Helio G35 Processor,6000 ,4.5
"Redmi 9i (Nature Green, 64 GB)","₹8,299",4 GB RAM , 64 GB ROM ,16.59 ,13MP Rear Camera , 5MP Front Camera,MediaTek Helio G25 Processor,5000 ,4.4
"OPPO Reno2 F (Sky White, 128 GB)","₹21,990",8 GB RAM , 128 GB ROM,16.51 ,48MP + 8MP + 2MP + 2MP , 16MP Front Camera,MTK MT6771V(P70) 64bit Processor,4000 ,4.4
"OPPO Reno2 F (Lake Green, 128 GB)","₹21,990",8 GB RAM , 128 GB ROM,16.51 ,48MP + 8MP + 2MP + 2MP , 16MP Front Camera,MTK MT6771V(P70) 64bit Processor,4000 ,4.4
"Realme 7 (Mist White, 64 GB)","₹14,999",6 GB RAM , 64 GB ROM ,16.51 ,64MP + 8MP + 2MP + 2MP , 16MP Front Camera,MediaTek Helio G95 Processor,5000 ,4.4
"Realme 7 (Mist White, 128 GB)","₹16,999",8 GB RAM , 128 GB ROM ,16.51 ,64MP + 8MP + 2MP + 2MP , 16MP Front Camera,MediaTek Helio G95 Processor,5000 ,4.4
